Date,Open,High,Low,Close,Adj Close,Volume
2019-11-04,41.990002,41.990002,41.730000,41.970001,41.857510,3684300
2019-11-05,42.380001,42.599998,42.349998,42.380001,42.266411,2907300
2019-11-06,42.560001,42.669998,42.349998,42.500000,42.386089,2183800
2019-11-07,42.639999,42.810001,42.549999,42.720001,42.605503,3161400
2019-11-08,41.959999,41.959999,41.599998,41.790001,41.677994,2835300
2019-11-11,41.400002,41.830002,41.330002,41.689999,41.578259,3286400
2019-11-12,42.080002,42.290001,41.930000,42.200001,42.086895,3586100
2019-11-13,40.299999,41.500000,40.279999,40.740002,40.630810,5947000
2019-11-14,40.919998,41.049999,40.770000,40.880001,40.770432,3649400
2019-11-15,40.880001,41.060001,40.849998,40.959999,40.850216,2863800
2019-11-18,42.450001,42.480000,41.830002,41.910000,41.797672,4090700
2019-11-19,42.849998,42.950001,42.770000,42.820000,42.705231,4271600
2019-11-20,42.779999,42.779999,42.320000,42.450001,42.336224,2880900
2019-11-21,42.250000,42.380001,42.099998,42.330002,42.216549,1679700
2019-11-22,42.520000,42.650002,42.450001,42.599998,42.485821,1880500
2019-11-25,43.209999,43.689999,43.150002,43.619999,43.503086,3442800
2019-11-26,42.889999,43.000000,42.689999,42.990002,42.874779,3366700
2019-11-27,42.810001,42.980000,42.709999,42.900002,42.785019,2121500
2019-11-29,42.380001,42.380001,42.080002,42.150002,42.037029,1557400
2019-12-02,42.310001,42.320000,41.900002,41.900002,41.787701,3318800
2019-12-03,41.650002,41.700001,41.209999,41.689999,41.578259,2734900
2019-12-04,42.040001,42.459999,42.029999,42.290001,42.176655,3100800
2019-12-05,42.279999,42.369999,42.049999,42.209999,42.096867,2574500
2019-12-06,42.950001,42.970001,42.720001,42.740002,42.625446,3043100
2019-12-09,42.730000,42.970001,42.520000,42.549999,42.435955,2507800
2019-12-10,42.970001,43.240002,42.799999,43.080002,42.964539,2703600
2019-12-11,43.540001,44.040001,43.459999,43.959999,43.842175,3482200
2019-12-12,44.689999,45.889999,44.660000,45.779999,45.657299,7248600
2019-12-13,45.980000,47.000000,45.709999,45.840000,45.717136,5258300
2019-12-16,46.150002,46.689999,46.150002,46.360001,46.235744,3050000
2019-12-17,47.419998,47.959999,47.380001,47.680000,47.552208,6892000
2019-12-18,48.250000,48.570000,48.209999,48.430000,48.300198,3425200
2019-12-19,47.970001,48.310001,47.950001,48.290001,48.160572,3783100
2019-12-20,48.169998,48.330002,48.099998,48.150002,48.020947,4489100
2019-12-23,48.389999,48.490002,48.200001,48.459999,48.330116,1739200
2019-12-24,48.340000,48.450001,48.310001,48.340000,48.210438,572600
2019-12-26,48.490002,48.869999,48.419998,48.810001,48.679180,1584300
2019-12-27,49.099998,49.360001,49.080002,49.240002,49.108028,2065900
2019-12-30,49.020000,49.150002,48.520000,48.619999,48.489685,2571800
2019-12-31,48.430000,48.430000,47.689999,48.009998,47.881321,1931300
2020-01-02,49.200001,49.889999,49.200001,49.880001,49.746311,4293200
2020-01-03,48.799999,49.279999,48.799999,49.029999,48.898586,2728500
2020-01-06,48.330002,48.799999,48.299999,48.770000,48.639286,4712100
2020-01-07,49.540001,49.980000,49.189999,49.779999,49.646576,4667000
2020-01-08,49.209999,49.990002,49.180000,49.650002,49.516926,2925200
2020-01-09,49.990002,50.490002,49.900002,50.480000,50.344700,2874000
2020-01-10,51.180000,51.669998,51.099998,51.430000,51.292156,5373200
2020-01-13,51.990002,52.509998,51.959999,52.310001,52.169800,4920700
2020-01-14,51.549999,51.599998,51.230000,51.389999,51.252262,3395200
2020-01-15,51.380001,51.430000,51.070000,51.169998,51.032848,3149400
2020-01-16,51.369999,51.720001,51.360001,51.549999,51.411831,2269800
2020-01-17,51.450001,51.619999,51.349998,51.599998,51.461697,1846200
2020-01-21,49.709999,49.820000,49.150002,49.209999,49.078106,6423300
2020-01-22,49.990002,50.209999,49.610001,49.880001,49.746311,4748200
2020-01-23,49.020000,49.910000,49.000000,49.849998,49.716389,4581700
2020-01-24,49.630001,49.689999,48.700001,48.930000,48.798855,4248300
2020-01-27,46.380001,47.700001,46.259998,47.419998,47.292900,9271000
2020-01-28,47.549999,48.480000,47.400002,48.220001,48.090759,7210600
2020-01-29,49.520000,49.560001,49.029999,49.529999,49.397247,6089200
2020-01-30,48.110001,49.209999,48.080002,49.080002,48.948456,5431100
2020-01-31,47.930000,47.980000,47.529999,47.910000,47.781590,5588800
2020-02-03,48.759998,49.540001,48.650002,49.439999,49.307487,5344100
2020-02-04,51.340000,51.599998,51.099998,51.099998,50.963039,4850900
2020-02-05,51.450001,51.549999,50.250000,50.840000,50.703735,5240500
2020-02-06,51.290001,51.610001,50.950001,51.419998,51.282181,3259800
2020-02-07,51.099998,51.279999,50.840000,51.049999,50.913174,4114900
2020-02-10,51.060001,52.070000,51.000000,51.959999,51.820732,3547500
2020-02-11,52.730000,53.250000,52.549999,52.700001,52.558750,5289400
2020-02-12,53.130001,53.750000,52.810001,53.490002,53.346634,4969300
2020-02-13,53.400002,53.750000,53.150002,53.520000,53.376553,3460700
2020-02-14,53.310001,53.439999,53.060001,53.299999,53.157143,2513300
2020-02-18,52.480000,52.880001,52.400002,52.849998,52.708347,2692100
2020-02-19,52.900002,53.340000,52.880001,53.200001,53.057411,3497100
2020-02-20,52.799999,52.799999,52.029999,52.259998,52.119930,3589000
2020-02-21,51.740002,51.880001,51.209999,51.470001,51.332050,4103500
2020-02-24,48.720001,49.740002,48.689999,49.410000,49.277569,4669900
2020-02-25,51.150002,51.349998,50.310001,50.410000,50.274887,7824400
2020-02-26,51.180000,51.560001,51.009998,51.049999,50.913174,6239400
2020-02-27,50.259998,50.779999,49.660000,49.840000,49.706417,8508600
2020-02-28,48.209999,49.700001,48.160000,49.650002,49.516926,7163400
2020-03-02,49.650002,50.240002,49.340000,50.220001,50.085400,6001300
2020-03-03,50.990002,51.180000,49.880001,50.189999,50.055477,5335900
2020-03-04,50.779999,51.369999,50.730000,51.230000,51.092690,4213600
2020-03-05,51.660000,51.950001,51.099998,51.680000,51.541485,6867200
2020-03-06,50.250000,50.599998,49.520000,50.090000,49.955746,4817400
2020-03-09,47.990002,48.630001,47.500000,47.759998,47.631989,6861700
2020-03-10,49.599998,49.900002,48.580002,49.560001,49.427170,5071600
2020-03-11,48.310001,48.529999,47.509998,47.630001,47.502342,6092900
2020-03-12,43.619999,44.840000,43.500000,43.680000,43.562927,11802900
2020-03-13,47.580002,47.599998,44.639999,46.240002,46.116066,8499900
2020-03-16,41.250000,43.480000,40.799999,42.060001,41.947269,9104500
2020-03-17,43.419998,45.200001,43.150002,44.540001,44.420624,8603800
2020-03-18,41.590000,43.849998,41.200001,42.279999,42.166679,8460300
2020-03-19,44.090000,45.770000,43.750000,45.299999,45.178585,7809200
2020-03-20,46.689999,46.740002,45.080002,45.250000,45.128719,8911100
2020-03-23,46.070000,46.799999,45.099998,46.419998,46.295582,8613400
2020-03-24,47.820000,48.490002,45.910000,48.419998,48.290222,11939500
2020-03-25,48.939999,50.099998,48.590000,49.250000,49.117996,5177200
2020-03-26,50.099998,51.200001,49.950001,51.099998,50.963039,7463400
2020-03-27,48.450001,49.360001,48.200001,48.549999,48.419872,3762200
2020-03-30,49.000000,49.650002,48.650002,49.639999,49.506950,3769000
2020-03-31,48.500000,49.529999,48.500000,49.090000,48.958427,2589900
2020-04-01,48.009998,48.470001,46.980000,47.060001,46.933868,4189200
2020-04-02,48.189999,49.029999,48.000000,48.820000,48.689152,3199500
2020-04-03,48.619999,48.900002,47.549999,47.810001,47.681858,2865200
2020-04-06,49.480000,49.959999,49.029999,49.939999,49.806149,2822300
2020-04-07,50.619999,50.650002,49.180000,49.470001,49.337410,3282500
2020-04-08,49.590000,50.240002,49.400002,50.150002,50.015587,3214300
2020-04-09,50.400002,50.610001,49.369999,49.470001,49.337410,4217800
2020-04-13,49.860001,49.869999,49.000000,49.799999,49.666523,3764500
2020-04-14,50.880001,51.500000,50.820000,51.450001,51.312103,3212600
2020-04-15,50.500000,51.200001,50.270000,50.959999,50.823414,2991100
2020-04-16,52.500000,53.330002,52.500000,53.110001,52.967651,5469800
2020-04-17,53.000000,53.020000,52.230000,52.349998,52.209686,3703900
2020-04-20,52.549999,53.080002,52.200001,52.459999,52.319393,2532200
2020-04-21,51.250000,51.689999,51.009998,51.070000,50.933121,2480400
2020-04-22,52.900002,53.020000,52.689999,52.860001,52.718323,2719900
2020-04-23,53.090000,53.400002,52.450001,52.459999,52.319393,2240600
2020-04-24,52.660000,52.950001,52.450001,52.849998,52.708347,1635600
2020-04-27,53.320000,53.459999,53.060001,53.299999,53.157143,1963700
2020-04-28,54.009998,54.200001,53.299999,53.439999,53.296768,2918100
2020-04-29,54.080002,54.169998,53.750000,54.049999,53.905132,1942400
2020-04-30,53.740002,53.970001,52.349998,52.619999,52.478966,3097800
2020-05-01,51.490002,51.540001,50.910000,51.049999,50.913174,5653000
2020-05-04,51.099998,51.689999,50.900002,51.570000,51.431778,2443600
2020-05-05,52.200001,52.480000,52.110001,52.169998,52.030170,2653000
2020-05-06,52.750000,52.880001,52.450001,52.560001,52.419128,2884800
2020-05-07,52.500000,52.869999,52.380001,52.750000,52.608616,2647100
2020-05-08,54.009998,54.650002,53.759998,54.570000,54.423740,5009800
2020-05-11,55.500000,56.000000,55.400002,55.959999,55.810013,4730200
2020-05-12,56.299999,56.500000,55.270000,55.349998,55.201649,4110200
2020-05-13,57.840000,58.660000,57.160000,57.830002,57.675003,9222800
2020-05-14,55.200001,56.080002,54.660000,56.000000,56.000000,6025700
2020-05-15,53.849998,54.180000,53.599998,54.009998,54.009998,4853900
2020-05-18,55.110001,55.950001,54.810001,55.700001,55.700001,3478500
2020-05-19,55.680000,56.000000,55.369999,55.400002,55.400002,3537400
2020-05-20,57.000000,57.400002,56.029999,56.619999,56.619999,5423800
2020-05-21,55.020000,55.459999,54.709999,55.150002,55.150002,5413200
2020-05-22,53.410000,53.459999,52.400002,52.680000,52.680000,8033300
2020-05-26,55.009998,55.049999,53.849998,53.910000,53.910000,5106100
2020-05-27,53.919998,54.000000,53.000000,53.580002,53.580002,4612200
2020-05-28,52.939999,53.139999,52.250000,52.250000,52.250000,4071300
2020-05-29,52.639999,54.430000,52.500000,54.320000,54.320000,6098200
2020-06-01,54.820000,55.380001,54.680000,55.180000,55.180000,2425100
2020-06-02,55.980000,56.459999,55.619999,56.360001,56.360001,4676700
2020-06-03,56.180000,56.500000,56.040001,56.290001,56.290001,3266900
2020-06-04,55.820000,56.150002,55.150002,55.520000,55.520000,2938900
2020-06-05,56.090000,56.540001,56.000000,56.000000,56.000000,4014800
2020-06-08,55.689999,55.919998,55.150002,55.779999,55.779999,4141200
2020-06-09,55.669998,56.110001,55.450001,55.980000,55.980000,2140700
2020-06-10,57.400002,58.220001,57.060001,57.990002,57.990002,3594600
2020-06-11,56.630001,56.849998,55.750000,55.880001,55.880001,2407500
2020-06-12,57.480000,57.490002,56.000000,56.750000,56.750000,1975100
2020-06-15,55.799999,56.980000,55.799999,56.830002,56.830002,2104300
2020-06-16,58.639999,58.790001,57.900002,58.080002,58.080002,3410400
